age,gender,education_level,employment_type,annual_income,loan_amount,credit_score,repayment_history,transaction_count,spending_ratio,default_flag,income_missing,join_year,join_month,join_day,join_weekday,education_encoded,gender_encoded,region_North,region_South,region_West,loan_purpose_Car,loan_purpose_Education,loan_purpose_Home,loan_purpose_Other,income_bin,transaction_quantile,transaction_cluster,income_standard,income_minmax,income_maxabs,debt_to_income,avg_monthly_transactions,spending_income_ratio,loan_log,loan_sqrt,loan_reciprocal,income_boxcox
31.0,Male,Secondary,Salaried,462045.25,82456.51,661.8,2,397,62.32,1,0,2020,1,14,1,2,1,False,False,False,False,False,True,False,0,3,1,-0.19077555216216235,0.14230464974476595,0.1836923276096275,0.17845942911559176,66.16666666666667,0.00013487827246731252,11.320038409346079,287.1524159745134,1.2127458129647622e-05,0.11600850201932417
44.0,Male,Graduate,Unemployed,503191.46,12110.64,695.7,1,286,20.18,0,0,2024,8,25,6,3,1,False,False,False,True,False,False,False,0,2,2,-0.08531702842509371,0.15949226102156425,0.20005055894565907,0.024067610234064316,47.666666666666664,4.010393955426121e-05,9.401922252646337,110.04835300902963,8.256520173981393e-05,0.25661184258671876
56.0,Male,Graduate,Salaried,438854.47,46641.64,722.1,3,263,35.49,0,1,2019,3,27,2,3,1,True,False,False,False,True,False,False,0,2,2,-0.2502139651559992,0.13261738785975274,0.17447251990186988,0.10628018376984114,43.833333333333336,8.086944888712451e-05,10.750270423196026,215.96675670111824,2.1439609764798904e-05,0.030268555314735362
60.0,Male,Post-Graduate,Salaried,471837.32,118020.12,703.2,1,360,60.89,0,0,2021,1,21,3,4,1,False,False,False,False,False,False,True,0,2,2,-0.165678289339413,0.14639499713654755,0.18758529724932493,0.250128306662333,60.0,0.00012904844184762271,11.678618870483094,343.54056529033073,8.47305973710468e-06,0.15073872349749226
44.0,Female,Graduate,Salaried,695976.76,33192.44,705.1,2,51,14.62,0,0,2024,9,7,5,3,0,False,False,True,False,False,False,True,1,0,3,0.40879538523847064,0.24002261354445611,0.2766949579215609,0.04769181130155654,8.5,2.1006418366012154e-05,10.410107545019587,182.18792495662274,3.012643462081664e-05,0.7752163328444944
23.0,Female,Secondary,Self-Employed,1988259.14,130845.39,663.7,2,9,50.69,0,0,2021,9,16,3,2,0,True,False,False,False,True,False,False,3,0,3,3.7209398584773297,0.7798353255122346,0.7904592663115056,0.06580898915973843,1.5,2.549465182156697e-05,11.781779318735527,361.72557277582683,7.642549404687435e-06,2.2921219465363754
42.0,Female,Secondary,Salaried,197267.98,81729.84,689.0,4,66,14.36,0,1,2022,9,28,2,2,0,False,True,False,True,False,False,False,0,0,3,-0.8694047628071093,0.03170178275672831,0.07842654893443758,0.41430659802671455,11.0,7.279400947883442e-05,11.31118668820115,285.88431226634316,1.2235283523330973e-05,-1.3888154196119211
22.0,Male,Secondary,Salaried,795232.0,878251.7,660.7,1,472,53.83,0,0,2024,10,16,2,2,1,False,False,True,False,False,False,False,1,3,1,0.6631884650280415,0.2814835520441459,0.31615521871431274,1.1043954413360613,78.66666666666667,6.769085286953634e-05,13.685689644418822,937.1508416471704,1.138624452848252e-06,0.9812389337966384
44.0,Female,Graduate,Salaried,409331.72,49454.19,516.9,1,88,23.76,0,0,2021,4,1,3,3,0,True,False,False,False,False,True,False,0,0,3,-0.32588133844891104,0.12028513293707346,0.16273535202721445,0.12081660610957269,14.666666666666666,5.804568957986062e-05,10.808822286043014,222.3829804638835,2.0220324702018128e-05,-0.08673490462434166
64.0,Male,Primary,Salaried,192691.5,46828.69,651.6,2,137,43.12,1,0,2020,6,26,4,1,1,False,True,False,False,False,False,True,0,1,0,-0.881134368637445,0.02979009370308177,0.07660710751942702,0.24302289917874334,22.833333333333332,0.00022377622377622375,10.754272682467443,216.3993761543688,2.1353974369678722e-05,-1.4330737993948806
50.0,Male,Graduate,Salaried,121375.63,108606.83,745.5,3,398,22.07,0,0,2023,11,3,4,3,1,False,False,False,True,False,False,False,0,3,1,-1.0639183083787893,0.0,0.04825452050374922,0.8947919381185653,66.33333333333333,0.00018183071980166197,11.595498783330445,329.5555036712329,9.207439279469997e-06,-2.336762233567646
58.0,Female,Secondary,Self-Employed,324094.9,72746.07,591.9,1,340,16.09,0,0,2022,10,15,5,2,0,False,True,False,False,False,True,False,0,2,2,-0.5443449394766178,0.0846799744393546,0.128848303380263,0.22445847047124015,56.666666666666664,4.964579928348368e-05,11.194743909308594,269.7147938100541,1.3746258096717846e-05,-0.48796649283354443
22.0,Male,Secondary,Salaried,121375.63,69729.87,700.7,1,67,70.21,0,0,2021,1,19,1,2,1,False,False,True,False,True,False,False,0,0,3,-1.0639183083787893,0.0,0.04825452050374922,0.5744917287619535,11.166666666666666,0.0005784474325906065,11.15239839683305,264.0641399357361,1.4340850759498628e-05,-2.336762233567646
41.0,Female,Post-Graduate,Salaried,602070.25,219318.2,558.8,2,285,12.26,1,0,2022,2,16,2,4,0,False,False,False,False,False,False,True,1,2,2,0.16811120280951133,0.20079594867688336,0.23936115695813415,0.36427283315720527,47.5,2.0363038427760832e-05,12.298283481873177,468.3142107602544,4.559564324509664e-06,0.5465506105393542
53.0,Female,Secondary,Salaried,351621.22,111624.81,635.5,1,48,17.37,0,0,2021,6,30,2,2,0,True,False,False,False,False,False,False,0,0,3,-0.47379445448385316,0.09617827982497229,0.13979176355289205,0.3174566442359644,8.0,4.9399608477530236e-05,11.622907574591443,334.1029931024264,8.958501622519021e-06,-0.3463003277237861
32.0,Male,Primary,Salaried,201183.98,18161.4,546.6,2,157,77.66,0,0,2022,12,19,0,1,1,False,False,False,False,True,False,False,0,1,0,-0.8593679798578568,0.033337575840950213,0.079983407607737,0.09027214655885345,26.166666666666668,0.00038601291209711575,9.807108802013415,134.76423857982502,5.505880280139188e-05,-1.3518706821006274
42.0,Male,Graduate,Salaried,485619.13,127943.97,675.4,2,418,21.8,1,1,2022,8,6,5,3,1,True,False,False,False,False,False,True,0,3,1,-0.13035524653608388,0.15215194031480606,0.19306444189494923,0.2634651285975316,69.66666666666667,4.489105507220222e-05,11.759355528583848,357.69256352348174,7.81586020927591e-06,0.19824174710826087
48.0,Male,Primary,Salaried,284025.89,119285.87,537.7,1,274,12.62,0,0,2021,6,21,0,1,1,True,False,False,True,False,False,False,0,2,2,-0.6470425789969002,0.06794233157683716,0.11291832744843937,0.419980903920752,45.666666666666664,4.443241271979565e-05,11.6892865433535,345.3778655328103,8.38315231173389e-06,-0.720980836327441
45.0,Female,Graduate,Salaried,579815.8,167617.17,715.0,1,346,38.02,0,0,2024,5,6,0,3,0,False,True,False,False,False,True,False,0,2,2,0.11107262152631657,0.19149981093348142,0.23051359988407688,0.28908643212821705,57.666666666666664,6.557243598322781e-05,12.029443874041695,409.41075950687963,5.965940327352339e-06,0.48632061897478523
69.0,Male,Graduate,Salaried,676424.28,37881.23,741.4,2,175,26.74,0,0,2020,11,29,6,3,1,False,True,False,False,False,True,False,1,1,0,0.35868200477892026,0.2318551437887393,0.2689216055026351,0.05600209087395433,29.166666666666668,3.953134335842681e-05,10.542237415683394,194.63100986225191,2.6397601197184007e-05,0.7306485030521768
47.0,Male,Secondary,Self-Employed,290366.59,91799.68,605.6,1,160,19.62,1,0,2022,6,22,2,2,1,False,True,False,False,False,False,True,0,1,0,-0.6307912435407396,0.07059097131359043,0.11543915834470843,0.3161498843586503,26.666666666666668,6.756952454645506e-05,11.427374983988555,302.9846200717125,1.089316549724904e-05,-0.6816784304753236
62.0,Male,Graduate,Salaried,383705.76,79074.13,694.5,2,482,46.51,0,0,2025,1,7,1,3,1,False,False,True,False,True,False,False,0,3,1,-0.39156116439023503,0.10958064668974274,0.15254740563098768,0.20607958535836066,80.33333333333333,0.00012121235497649297,11.27815369218135,281.2012268821031,1.2646201150728427e-05,-0.19644025883782984
48.0,Female,Graduate,Salaried,503297.87,37408.67,600.8,2,279,8.02,0,0,2020,11,22,6,3,0,False,False,True,False,False,False,False,0,2,2,-0.08504429755848755,0.15953671064926905,0.2000928636778924,0.07432695010819317,46.5,1.593486589787098e-05,10.529684506132476,193.4132105105543,2.673105643540828e-05,0.25695813861728306
36.0,Male,Secondary,Unemployed,190189.21,141879.96,715.48,3,362,32.24,0,0,2019,3,26,1,2,1,False,True,False,True,False,False,False,0,2,2,-0.8875477857993667,0.028744836124757554,0.07561228834434774,0.7459898172466396,60.333333333333336,0.00016951450865951515,11.862743675146032,376.6695634106902,7.0481620648746676e-06,-1.4577866431506452
48.0,Male,Primary,Self-Employed,503271.22,61754.23,618.0,3,430,9.96,0,0,2023,2,16,3,1,1,False,False,True,False,False,False,True,0,3,1,-0.08511260201854828,0.15952557840062387,0.20008226861056772,0.12270542172981455,71.66666666666667,1.979048237552234e-05,11.030933947259966,248.50398387148647,1.619296049905409e-05,0.2568714179214859
67.0,Female,Secondary,Salaried,187472.76,163883.76,751.0,2,24,68.54,0,0,2019,9,17,1,2,0,False,False,False,True,False,False,False,0,0,3,-0.8945100991401471,0.027610119545688462,0.0745323269697093,0.8741690570456366,4.0,0.0003655978308644367,12.006918776882145,404.82559207639036,6.101848640471511e-06,-1.4850408926331196
64.0,Other,Post-Graduate,Unemployed,621213.55,43477.5,517.0,4,487,114.89,0,0,2023,5,24,2,4,2,False,False,False,False,False,True,False,1,3,1,0.21717584709766885,0.2087924955995558,0.24697183434336728,0.06998789709609989,81.16666666666667,0.0001849441549622429,10.68002184202,208.5125895479695,2.2999873500695747e-05,0.5963495378756445
23.0,Male,Secondary,Salaried,340749.13,26307.0,589.6,4,218,17.41,1,0,2020,6,3,2,2,1,False,False,True,False,False,False,False,0,1,0,-0.5016598292373613,0.09163678604738343,0.1354694173799115,0.0772031987192492,36.333333333333336,5.109315732322685e-05,10.177628354421241,162.19432789095924,3.80112513303938e-05,-0.4006795648718258
57.0,Male,Graduate,Salaried,186852.41,61710.15,580.2,1,83,38.22,0,0,2018,11,15,3,3,1,False,False,True,True,False,False,False,0,0,3,-0.8961000680631729,0.027350986695893496,0.07428569845132796,0.3302596939493906,13.833333333333334,0.00020454537061967453,11.030219906694867,248.41527730797878,1.6204527058724395e-05,-1.4913285293191325
27.0,Male,Graduate,Self-Employed,2499140.38,86020.35,698.3,3,143,6.93,0,0,2021,10,27,2,3,1,False,False,False,False,False,False,True,4,1,0,5.030338254474508,0.993240841153376,0.9935670011225285,0.0344199614669259,23.833333333333332,2.7729523649438352e-06,11.362350800239224,293.2922603820292,1.1625020997694177e-05,2.5923635645717287
41.0,Female,Graduate,Salaried,320422.35,50315.22,730.0,1,442,9.32,0,0,2021,10,6,2,3,0,True,False,False,False,False,False,False,0,3,1,-0.553757755416423,0.08314587538637727,0.12738823154149237,0.15702732026239663,73.66666666666667,2.908651944372968e-05,10.826082769315846,224.31054366658736,1.987430693323147e-05,-0.5079087788406641
29.0,Male,Primary,Salaried,2515321.44,8560.21,705.3,0,102,21.85,0,0,2021,9,8,2,1,1,False,False,False,False,True,False,False,4,0,3,5.071810620947652,1.0,1.0,0.003403225711292903,17.0,8.686759062190056e-06,9.054996814286278,92.5214029292682,0.00011680591878951691,2.6006895440003377
48.0,Female,Secondary,Salaried,490893.67,95659.89,634.2,3,381,25.4,1,0,2019,5,3,4,2,0,False,False,False,False,False,False,True,0,2,1,-0.11683649956541231,0.1543552232704883,0.19516140648807095,0.19486846333043298,63.5,5.1742260717558816e-05,11.468564820975244,309.2893305628243,1.0453592894651096e-05,0.21601378257807025
38.0,Female,Graduate,Salaried,249255.44,95347.79,461.59939,3,156,19.84,0,0,2019,3,27,2,3,0,False,False,True,True,False,False,False,0,1,0,-0.7361599078267865,0.053418005313996646,0.09909486558505222,0.38252889273392493,26.0,7.959673980740478e-05,11.4652969208589,308.78437460467455,1.0487810070793767e-05,-0.9560933715294376
24.0,Female,Secondary,Salaried,1189971.33,118304.5,683.5,0,202,29.17,0,0,2018,12,19,2,2,0,False,False,False,False,False,False,False,2,1,0,1.6749129228276678,0.44637422264792204,0.473089169072562,0.09941785789254444,33.666666666666664,2.4513175024834402e-05,11.681025540855329,343.9542120689904,8.45269239384475e-06,1.5798423164808153
45.0,Male,Secondary,Unemployed,644283.57,56030.71,750.9,0,277,48.58,0,0,2021,2,13,5,2,1,False,False,True,False,False,False,True,1,2,2,0.2763047499002511,0.21842931356913212,0.25614363228263975,0.08696577973301456,46.166666666666664,7.540146429395321e-05,10.93367305945825,236.70806914847665,1.7847036972457204e-05,0.6540718396200357
34.0,Female,Primary,Salaried,361568.42,53931.16,850.0,4,160,32.63,0,0,2023,4,25,1,1,0,False,False,True,False,False,False,False,0,1,0,-0.44829959050203394,0.10033342818231963,0.14374640721863366,0.1491585212045864,26.666666666666668,9.024546378949859e-05,10.89548223944837,232.2308334394897,1.8541812528925227e-05,-0.2982127038234138
48.0,Female,Secondary,Unemployed,174154.74,200430.98,641.8,1,54,43.84,0,0,2024,6,25,1,2,0,False,True,False,False,False,False,False,0,0,3,-0.9286444392968896,0.022046910911488006,0.06923756830061449,1.1508720872478853,9.0,0.00025172871132470286,12.208230216299503,447.6951864829462,4.989223775567152e-06,-1.6255636658290302
29.0,Female,Post-Graduate,Salaried,342917.05,24275.35,620.1,4,483,12.14,0,0,2023,11,3,4,4,0,False,False,False,False,False,False,False,0,3,1,-0.49610340878502646,0.09254237045574562,0.13633130324687248,0.07079052852423487,80.5,3.5402044307670594e-05,10.097257904383532,155.80548770823188,4.1192353875273677e-05,-0.3896785741223584
46.0,Male,Primary,Self-Employed,387585.66,61513.84,708.8,2,232,29.24,1,0,2018,9,5,2,1,1,True,False,False,True,False,False,False,0,1,0,-0.38161690643190915,0.11120136006754472,0.1540899122618698,0.15870989987116688,38.666666666666664,7.544119294508227e-05,11.027033725499258,248.01983791624411,1.625623995770777e-05,-0.17929849525135902
22.0,Male,Secondary,Self-Employed,552064.08,80790.23,656.9,2,443,88.55,0,0,2019,7,22,0,2,1,False,True,False,False,False,False,True,0,3,1,0.03994443201956757,0.17990735136982902,0.2194805288981276,0.14634185882577466,73.83333333333333,0.00016039775600369436,11.299623699014377,284.23622218148057,1.2377581081510952e-05,0.40738103312284746
40.0,Male,Secondary,Self-Employed,636891.06,111771.88,794.8,3,461,18.18,0,0,2019,11,15,4,2,1,False,False,True,False,False,True,False,1,3,1,0.25735760528324975,0.21534131133903991,0.2532046401194752,0.1754957975139461,76.83333333333333,2.8544868340798595e-05,11.62422423424819,334.32301745467663,8.946714086637115e-06,0.6358373965772789
48.0,Male,Graduate,Salaried,717802.15,82358.51,607.3,2,14,37.14,0,0,2019,10,6,6,3,1,False,False,True,False,False,True,False,1,0,3,0.4647342775297845,0.24913952417327276,0.2853719363995085,0.11473690245020518,2.3333333333333335,5.174120509223176e-05,11.318849211633983,286.9817241567832,1.2141888653781452e-05,0.8232970267207126
67.0,Male,Graduate,Salaried,168235.41,38353.66,657.6,2,153,38.59,0,0,2019,4,24,2,3,1,True,False,False,True,False,False,False,0,1,0,-0.9438157953783498,0.019574286019448363,0.06688425873712586,0.22797478857281847,25.5,0.0002293795974367261,10.55463131179929,195.84090481817123,2.6072451170209825e-05,-1.6920386330363233
27.0,Female,Secondary,Salaried,501371.64,165599.87,758.9,0,62,16.05,0,0,2019,1,3,3,2,0,False,False,True,True,False,False,False,0,0,3,-0.08998126191506017,0.15873208508424844,0.19932706493369692,0.33029299325148653,10.333333333333334,3.2012117773319266e-05,12.017335774542685,406.9396392586989,6.038615618384131e-06,0.25067644719282084
64.0,Male,Graduate,Unemployed,402009.3,73228.15,707.8,3,166,11.29,0,0,2023,1,19,3,3,1,False,False,False,False,False,False,False,0,1,0,-0.34464884105444343,0.11722640872977821,0.15982422508989547,0.18215490996126218,27.666666666666668,2.8083857552903494e-05,11.201348844722968,270.6070028657795,1.3655764132179604e-05,-0.11725937471022886
48.0,Male,Graduate,Self-Employed,2206209.33,22751.77,784.5,2,355,30.62,0,0,2018,12,23,6,3,1,False,True,False,False,False,False,True,4,2,2,4.279550366847691,0.8708775659378857,0.87710830707983,0.010312602425354431,59.166666666666664,1.3879003095774644e-05,10.03244217520892,150.8368986687276,4.3950692596989286e-05,2.4299495421313555
67.0,Male,Post-Graduate,Salaried,459924.06,84662.13,640.7,2,481,30.46,0,0,2024,9,21,5,4,1,False,False,True,False,False,False,True,0,3,1,-0.1962122027301207,0.14141858541066976,0.1828490198851086,0.18407809741874037,80.16666666666667,6.622818073883602e-05,11.34643548480656,290.9675755131489,1.181151700864355e-05,0.10837369278208166
55.0,Male,Graduate,Salaried,304494.43,101996.5,793.7,1,111,24.79,0,0,2021,9,30,3,3,1,False,False,True,False,True,False,False,0,0,3,-0.5945813192246603,0.07649245828166845,0.12105587188888271,0.33496890248894706,18.5,8.141337293633602e-05,11.532703582162117,319.36890894387324,9.80416186671242e-06,-0.5975446331303429
34.0,Female,Secondary,Salaried,472702.41,288520.31,530.3,1,431,128.12,0,0,2024,2,5,0,2,0,True,False,False,False,True,False,False,0,3,1,-0.16346104711225046,0.14675636287690239,0.18792922545915244,0.610362235381378,71.83333333333333,0.00027103675854591363,12.572524227020445,537.1408660677383,3.465948494411037e-06,0.15376713354408741
37.0,Female,Secondary,Self-Employed,440144.79,97355.64,533.9,1,399,14.82,0,0,2022,1,6,3,2,0,False,False,False,False,False,True,False,0,3,1,-0.24690685030025875,0.13315638084556308,0.17498550403959504,0.22118952904218397,66.5,3.367066171415612e-05,11.486136215973037,312.0186532885494,1.0271513067829786e-05,0.03517450676386354
56.0,Male,Primary,Salaried,134131.56,25915.13,795.1,3,293,28.36,0,0,2023,1,17,1,1,1,False,False,True,False,True,False,False,0,2,2,-1.0312246156500207,0.00532841217487709,0.05332581270408127,0.19320536341064393,48.833333333333336,0.00021143263052610044,10.162620833763471,160.98176915414987,3.8586008018944185e-05,-2.136086141675529
70.0,Male,Secondary,Self-Employed,565226.99,26560.2,680.7,1,190,74.26,0,0,2024,8,11,6,2,1,True,False,False,False,True,False,False,0,1,0,0.07368122227762296,0.18540576739287176,0.2247136214924483,0.04699024193759407,31.666666666666668,0.0001313806133344529,10.187206783292643,162.97300389941887,3.7648901405057e-05,0.44537768768256447
60.0,Female,Post-Graduate,Salaried,367201.18,1059021.67,762.9,4,50,9.85,0,0,2020,11,25,2,4,0,False,False,True,False,False,True,False,0,0,3,-0.4338627188153048,0.10268634693949066,0.14598578700939313,2.8840288203082016,8.333333333333334,2.6824459484418093e-05,13.872857031342141,1029.0877853711022,9.442668493583806e-07,-0.2716513665273652
24.0,Male,Secondary,Salaried,435384.69,41690.89,689.0,2,449,36.0,0,0,2024,11,15,4,2,1,True,False,False,False,False,True,False,0,3,1,-0.2591070777049412,0.1311679899721707,0.17309306201437222,0.09575622478543105,74.83333333333333,8.268530828378856e-05,10.638061904459876,204.18347141725258,2.3985480149736554e-05,0.01699342377708666
22.0,Male,Secondary,Salaried,261936.89,24718.15,679.4,1,450,21.95,0,0,2022,7,3,6,2,1,True,False,False,False,True,False,False,0,3,1,-0.7036571087635083,0.05871530567352317,0.10413654725576546,0.09436645458203852,75.0,8.379849131410503e-05,10.115333525867177,157.22006869353544,4.0454465465034195e-05,-0.866208762336931
26.0,Male,Graduate,Salaried,229498.43,147319.3,560.5,1,133,31.43,0,0,2020,4,7,1,3,1,False,False,False,False,False,False,True,0,0,0,-0.7867975025908851,0.04516509920498158,0.09124019950309015,0.6419157555206129,22.166666666666668,0.00013695023120536727,11.90036440694031,383.8219639364063,6.7879307875425185e-06,-1.1071481894934045
62.0,Female,Graduate,Salaried,749625.78,52416.93,677.6,3,409,47.24,0,0,2021,3,15,0,3,0,False,False,True,False,True,False,False,1,3,1,0.5462988502997842,0.26243290360862426,0.2980238501843327,0.0699240360649869,68.16666666666667,6.301802611694316e-05,10.867003987352943,228.9474393829291,1.907744163113652e-05,0.8904741254938987
24.0,Male,Primary,Salaried,860332.3,141904.53,802.5,2,322,7.08,0,0,2022,12,17,5,1,1,False,False,False,False,False,False,False,1,2,2,0.830041779898118,0.3086772753640568,0.34203672195470974,0.16494134308180328,53.666666666666664,8.229368780680696e-06,11.862916833495193,376.702176792224,7.04694172242618e-06,1.100933241876729
48.0,Female,Secondary,Salaried,568558.31,38549.42,685.1,0,452,55.65,0,0,2023,4,9,6,2,0,True,False,False,False,False,False,False,0,3,1,0.08221945919654643,0.18679732771394691,0.2260380327374779,0.06780193257234675,75.33333333333333,9.787897062137632e-05,10.55972227387376,196.34006213709927,2.5940054609002964e-05,0.45483301145974514
48.0,Male,Secondary,Unemployed,149271.41,205185.28,741.4,3,91,38.47,0,0,2024,1,3,2,2,1,False,True,False,False,False,False,False,0,0,3,-0.9924208903348419,0.01165263636439623,0.05934486448777696,1.3745693527692089,15.166666666666666,0.00025771674752219785,12.231673528444974,452.9738182279413,4.873620205015657e-06,-1.9245998861923146
46.0,Female,Graduate,Salaried,591157.65,134651.41,738.9,1,253,17.2,0,0,2024,8,24,5,3,0,False,False,True,True,False,False,False,0,1,2,0.1401420001506727,0.19623753304591304,0.23502270548769308,0.2277754203545867,42.166666666666664,2.909540442316119e-05,11.810451996334308,366.9487838922484,7.426528793654714e-06,0.5173419466994084
64.0,Male,Primary,Salaried,150608.35,44095.82,588.9,0,333,19.7,1,0,2018,6,17,6,1,1,False,True,False,False,False,False,False,0,2,2,-0.9889942875268305,0.012211103475228628,0.05987638303595902,0.2927827521996476,55.5,0.00013080197212191673,10.694142949991432,209.99004738320338,2.2677372200535095e-05,-1.907118484966254
54.0,Male,Secondary,Unemployed,297537.22,22873.33,757.1,6,444,8.02,0,0,2018,3,28,2,2,1,False,False,True,False,False,False,True,0,3,1,-0.612412781610352,0.07358628974145406,0.11828993911807947,0.07687526664641606,74.0,2.6954520330194892e-05,10.037770600097286,151.23931367207405,4.37171274524762e-05,-0.638402520417127
30.0,Male,Graduate,Self-Employed,743656.91,367182.66,651.8,1,261,31.82,0,0,2018,6,3,6,3,1,False,False,False,True,False,False,False,1,2,2,0.5310005222501661,0.2599395848479962,0.2956508453249617,0.4937521070676166,43.5,4.278849128357957e-05,12.813617437827691,605.9559885008151,2.7234327366310364e-06,0.8781268769301623
56.0,Other,Secondary,Salaried,656421.96,63123.89,656.6,4,281,31.05,0,0,2024,12,19,3,2,2,False,False,False,True,False,False,False,1,2,2,0.30741567578977524,0.2234997666885367,0.26096941311803074,0.09616344010879815,46.833333333333336,4.730181893698539e-05,11.052870424001885,251.24468153574912,1.5841611763600698e-05,0.6834973727609112
34.0,Female,Graduate,Salaried,581973.63,42876.87,850.0,3,282,24.44,0,0,2018,11,11,6,3,0,False,False,False,False,False,False,False,0,2,2,0.11660318111553643,0.19240118054301322,0.23137147433530406,0.0736748095015757,47.0,4.1994957752711664e-05,10.666111121003452,207.06730789769784,2.3322054010612e-05,0.4922759415386222
51.0,Male,Secondary,Salaried,972613.05,192994.27,659.52,3,442,20.97,0,0,2023,1,29,6,2,1,False,False,False,False,True,False,False,1,3,1,1.117819491116013,0.3555792351039057,0.3866754501166261,0.19842842081090642,73.66666666666667,2.1560453501571355e-05,12.170420959814681,439.3111312042981,5.18147413664594e-06,1.2847645715861777
68.0,Male,Secondary,Self-Employed,619091.95,141780.01,622.5,3,8,88.47,0,0,2019,12,24,1,2,1,False,False,False,False,False,True,False,1,0,3,0.21173814569186322,0.2079062600000958,0.2461283636178126,0.2290124770440368,1.3333333333333333,0.00014290261260445627,11.86203896309643,376.53686406512713,7.05313074014637e-06,0.5909179062267593
35.0,Female,Post-Graduate,Self-Employed,131740.38,167369.23,685.8,3,69,46.65,0,0,2023,6,5,0,4,0,False,True,False,False,True,False,False,0,0,3,-1.0373532557553817,0.0043295675101350725,0.05237516680969412,1.2704378077715597,11.5,0.0003541028642633013,12.027963583707612,409.1078464170542,5.974778190840749e-06,-2.1719890160331334
