customer_id,age,gender,region,education_level,employment_type,annual_income,loan_amount,loan_purpose,credit_score,repayment_history,transaction_count,spending_ratio,join_date,default_flag
CUST100017,22.0,Male,West,Secondary,Salaried,795232.0,878251.7,Business,660.7,1,472,53.83,2024-10-16,0
CUST100018,44.0,Female,North,Graduate,,409331.72,49454.19,Home,516.9,1,88,23.76,2021-04-01,0
CUST100019,64.0,Male,South,Primary,Salaried,192691.5,46828.69,Other,,2,137,43.12,2020-06-26,1
CUST100020,50.0,Male,East,Graduate,Salaried,111427.9,108606.83,Car,745.5,3,398,22.07,2023-11-03,0
CUST100021,58.0,Female,South,Secondary,Self-Employed,324094.9,72746.07,Home,591.9,1,340,16.09,2022-10-15,0
CUST100022,22.0,Male,West,Secondary,Salaried,94068.36,69729.87,Education,700.7,1,67,70.21,2021-01-19,0
CUST100023,41.0,Female,East,Post-Graduate,Salaried,602070.25,219318.2,Other,558.8,2,285,12.26,2022-02-16,1
CUST100024,53.0,Female,North,Secondary,Salaried,351621.22,111624.81,Business,635.5,1,48,17.37,2021-06-30,0
CUST100025,32.0,Male,East,Primary,Salaried,201183.98,18161.4,Education,546.6,2,157,77.66,2022-12-19,0
CUST100026,42.0,Male,North,Graduate,Salaried,,127943.97,Other,675.4,2,418,21.8,2022-08-06,1
CUST100027,,Male,North,Primary,Salaried,284025.89,119285.87,Car,537.7,1,274,12.62,2021-06-21,0
CUST100028,45.0,Female,South,Graduate,Salaried,579815.8,167617.17,Home,715.0,1,346,38.02,2024-05-06,0
CUST100029,69.0,Male,South,Graduate,Salaried,676424.28,37881.23,Home,741.4,2,175,26.74,2020-11-29,0
CUST100030,47.0,Male,South,Secondary,Self-Employed,290366.59,91799.68,Other,605.6,1,160,19.62,2022-06-22,1
CUST100031,62.0,Male,West,Graduate,Salaried,383705.76,79074.13,Education,694.5,2,482,46.51,2025-01-07,0
CUST100032,48.0,Female,West,Graduate,Salaried,503297.87,37408.67,Business,600.8,2,279,8.02,2020-11-22,0
CUST100033,36.0,Male,South,Secondary,Unemployed,190189.21,141879.96,Car,,3,362,32.24,2019-03-26,0
CUST100034,,Male,West,Primary,Self-Employed,503271.22,61754.23,Other,618.0,3,430,9.96,2023-02-16,0
CUST100035,67.0,Female,East,Secondary,Salaried,187472.76,163883.76,Car,751.0,2,24,68.54,2019-09-17,0
CUST100036,64.0,Other,East,Post-Graduate,Unemployed,621213.55,43477.5,Home,517.0,4,487,114.89,2023-05-24,0
CUST100037,23.0,Male,West,Secondary,Salaried,340749.13,26307.0,Business,589.6,4,218,17.41,2020-06-03,1
CUST100038,57.0,Male,West,Graduate,Salaried,186852.41,61710.15,Car,580.2,1,83,38.22,2018-11-15,0
CUST100039,27.0,Male,East,Graduate,Self-Employed,2499140.38,86020.35,Other,698.3,3,143,6.93,2021-10-27,0
CUST100040,41.0,Female,North,Graduate,Salaried,320422.35,50315.22,Business,730.0,1,442,9.32,2021-10-06,0
CUST100041,29.0,Male,East,Primary,Salaried,6719700.02,8560.21,Education,705.3,0,102,21.85,2021-09-08,0
CUST100042,,Female,East,Secondary,Salaried,490893.67,95659.89,Other,634.2,3,381,25.4,2019-05-03,1
CUST100043,38.0,Female,West,Graduate,Salaried,249255.44,95347.79,Car,428.4,3,156,19.84,2019-03-27,0
CUST100044,24.0,Female,East,Secondary,Salaried,1189971.33,118304.5,Business,683.5,0,202,29.17,2018-12-19,0
CUST100045,45.0,Male,West,Secondary,Unemployed,644283.57,56030.71,Other,750.9,0,277,48.58,2021-02-13,0
CUST100046,34.0,Female,West,Primary,Salaried,361568.42,53931.16,Business,850.0,4,160,32.63,2023-04-25,0
CUST100047,,Female,South,Secondary,Unemployed,174154.74,200430.98,Business,641.8,1,54,43.84,2024-06-25,0
CUST100048,29.0,Female,East,Post-Graduate,Salaried,342917.05,24275.35,Business,620.1,4,483,12.14,2023-11-03,0
CUST100049,46.0,Male,North,Primary,Self-Employed,387585.66,61513.84,Car,708.8,2,232,29.24,2018-09-05,1
CUST100050,22.0,,South,Secondary,Self-Employed,552064.08,80790.23,Other,656.9,2,443,88.55,2019-07-22,0
CUST100051,40.0,Male,West,Secondary,Self-Employed,636891.06,111771.88,Home,794.8,3,461,18.18,2019-11-15,0
CUST100052,48.0,Male,West,Graduate,Salaried,717802.15,82358.51,Home,607.3,2,14,37.14,2019-10-06,0
CUST100053,67.0,Male,North,Graduate,Salaried,168235.41,38353.66,Car,657.6,2,153,38.59,2019-04-24,0
CUST100054,27.0,Female,West,Secondary,Salaried,501371.64,165599.87,Car,758.9,0,62,16.05,2019-01-03,0
CUST100055,64.0,Male,East,Graduate,Unemployed,402009.3,73228.15,Business,707.8,3,166,11.29,2023-01-19,0
CUST100056,,Male,South,Graduate,Self-Employed,2206209.33,22751.77,Other,784.5,2,355,30.62,2018-12-23,0
CUST100057,67.0,Male,West,Post-Graduate,Salaried,459924.06,84662.13,Other,640.7,2,481,30.46,2024-09-21,0
CUST100058,55.0,Male,West,Graduate,Salaried,304494.43,101996.5,Education,793.7,1,111,24.79,2021-09-30,0
CUST100059,34.0,Female,North,Secondary,Salaried,472702.41,288520.31,Education,530.3,1,431,128.12,2024-02-05,0
CUST100060,37.0,Female,East,Secondary,Self-Employed,440144.79,97355.64,Home,533.9,1,399,14.82,2022-01-06,0
CUST100061,56.0,Male,West,Primary,Salaried,134131.56,25915.13,Education,795.1,3,293,28.36,2023-01-17,0
CUST100062,70.0,Male,North,Secondary,Self-Employed,565226.99,26560.2,Education,680.7,1,190,74.26,2024-08-11,0
CUST100063,60.0,Female,West,Post-Graduate,,367201.18,1059021.67,Home,762.9,4,50,9.85,2020-11-25,0
CUST100064,24.0,Male,North,Secondary,Salaried,435384.69,41690.89,Home,689.0,2,449,36.0,2024-11-15,0
CUST100065,22.0,Male,North,Secondary,Salaried,261936.89,24718.15,Education,679.4,1,450,21.95,2022-07-03,0
CUST100066,26.0,,East,Graduate,Salaried,229498.43,147319.3,Other,560.5,1,133,31.43,2020-04-07,0
CUST100067,62.0,Female,West,Graduate,Salaried,749625.78,52416.93,Education,677.6,3,409,47.24,2021-03-15,0
CUST100068,24.0,Male,East,Primary,Salaried,860332.3,141904.53,Business,802.5,2,322,7.08,2022-12-17,0
CUST100069,,Female,North,Secondary,Salaried,568558.31,38549.42,Business,685.1,0,452,55.65,2023-04-09,0
CUST100070,,Male,South,Secondary,Unemployed,149271.41,205185.28,Business,741.4,3,91,38.47,2024-01-03,0
CUST100071,46.0,Female,West,Graduate,Salaried,591157.65,134651.41,Car,738.9,1,253,17.2,2024-08-24,0
CUST100072,64.0,Male,South,Primary,Salaried,150608.35,44095.82,Business,588.9,0,333,19.7,2018-06-17,1
CUST100073,54.0,Male,West,Secondary,Unemployed,297537.22,22873.33,Other,757.1,6,444,8.02,2018-03-28,0
CUST100074,30.0,Male,East,Graduate,Self-Employed,743656.91,367182.66,Car,651.8,1,261,31.82,2018-06-03,0
CUST100075,56.0,Other,East,Secondary,Salaried,656421.96,63123.89,Car,656.6,4,281,31.05,2024-12-19,0
CUST100076,34.0,Female,East,Graduate,Salaried,581973.63,42876.87,Business,850.0,3,282,24.44,2018-11-11,0
CUST100077,51.0,Male,East,Secondary,Salaried,972613.05,192994.27,Education,,3,442,20.97,2023-01-29,0
CUST100078,68.0,Male,East,Secondary,Self-Employed,619091.95,141780.01,Home,622.5,3,8,88.47,2019-12-24,0
CUST100079,35.0,Female,South,Post-Graduate,Self-Employed,131740.38,167369.23,Education,685.8,3,69,46.65,2023-06-05,0
CUST100080,28.0,Male,East,Graduate,Self-Employed,354435.44,68257.61,Education,683.3,1,439,18.38,2023-01-28,0
CUST100081,34.0,Male,North,Primary,Salaried,431505.24,272866.59,Car,831.7,0,206,25.92,2022-09-26,0
CUST100082,,,North,Graduate,Self-Employed,402220.19,29218.79,Car,683.6,1,67,23.93,2024-04-28,0
CUST100083,60.0,Male,South,Graduate,Salaried,305504.23,49690.32,Car,850.0,1,147,19.28,2024-12-09,0
CUST100084,41.0,Female,West,Graduate,Salaried,238447.95,96077.95,Other,563.3,0,248,37.7,2024-11-06,0
CUST100085,36.0,,North,Secondary,Salaried,1868127.19,165657.54,Other,677.1,1,296,43.02,2024-10-26,1
CUST100086,65.0,Male,West,Post-Graduate,Salaried,350372.83,116170.16,Home,611.3,3,289,26.29,2025-02-03,1
CUST100087,38.0,Male,South,Secondary,Salaried,1813848.22,69009.12,Car,635.5,0,184,9.63,2021-02-02,0
CUST100088,67.0,Male,West,Secondary,Self-Employed,223066.62,52438.51,Business,637.4,0,178,55.44,2023-07-17,0
CUST100089,44.0,Female,West,Secondary,Unemployed,656209.94,166284.86,Car,616.0,2,329,8.17,2018-12-16,0
CUST100090,,Female,West,Primary,Salaried,507770.5,124876.09,Other,835.7,1,417,24.42,2020-04-03,0
CUST100091,45.0,Female,West,Graduate,Salaried,254442.53,39649.49,Car,808.0,4,115,30.4,2019-03-14,0
CUST100092,65.0,Male,South,Primary,Salaried,334190.25,38832.45,Other,716.2,0,179,14.86,2023-06-28,0
CUST100093,61.0,Female,North,Primary,Salaried,438415.32,49919.07,Car,637.3,2,479,12.74,2018-06-18,0
CUST100094,49.0,Other,East,Post-Graduate,Salaried,266606.76,45632.1,Business,618.5,4,157,24.29,2018-01-23,0
CUST100095,35.0,Female,West,Secondary,Unemployed,379388.36,150375.18,Home,746.8,2,468,58.98,2018-10-08,0
CUST100096,65.0,Other,North,Primary,Salaried,107050.78,99211.84,Business,707.0,4,404,43.08,2024-04-19,0
CUST100097,21.0,Female,North,Primary,Salaried,678004.76,108060.99,Other,667.0,1,360,81.64,2019-02-08,0
CUST100098,45.0,Female,South,Primary,Salaried,923837.07,83630.93,Education,728.7,2,221,36.73,2023-12-21,1
CUST100099,27.0,Female,North,Secondary,Unemployed,581065.19,86434.27,Business,760.2,0,301,91.47,2025-04-19,0
CUST100100,29.0,Male,South,Graduate,Self-Employed,1721238.89,24166.62,Car,666.1,2,453,71.27,2018-08-20,0
CUST100101,44.0,Male,West,Secondary,Unemployed,666141.73,127507.26,Home,609.1,2,457,33.61,2025-02-05,0
CUST100102,21.0,Female,West,Primary,Self-Employed,878249.31,49294.26,Car,561.1,4,493,60.62,2018-03-20,0
CUST100103,64.0,Male,East,Graduate,Salaried,930072.39,71452.72,Car,702.6,1,408,97.71,2020-11-24,0
CUST100104,28.0,Female,East,Graduate,Salaried,84913.81,52511.05,Business,850.0,5,457,51.82,2024-12-17,0
CUST100105,44.0,,East,Secondary,Self-Employed,570463.19,80992.36,Home,580.0,1,424,16.34,2021-02-07,0
CUST100106,31.0,Female,North,Graduate,Salaried,192960.16,109225.05,Education,779.0,0,481,20.56,2021-09-06,0
CUST100107,37.0,Male,West,Secondary,Salaried,217827.32,36091.1,Car,619.2,3,244,61.73,2024-07-03,0
CUST100108,28.0,Male,South,Secondary,Salaried,241787.87,87284.18,Home,637.3,1,230,12.53,2024-08-28,0
CUST100109,55.0,Male,East,Graduate,Salaried,366726.1,53407.06,Education,762.3,3,190,60.01,2021-10-19,0
CUST100110,55.0,Female,South,Secondary,Salaried,653616.44,184429.24,Car,657.0,4,52,48.55,2022-06-28,0
CUST100111,,Female,South,Post-Graduate,Salaried,574005.29,33515.46,Home,702.3,0,470,22.62,2021-12-08,0
CUST100112,25.0,Other,East,Primary,Self-Employed,439086.26,36251.59,Business,700.6,1,390,75.09,2019-07-01,1
CUST100113,62.0,Male,West,Graduate,Salaried,682562.97,56857.35,Car,619.3,2,212,5.86,2022-09-26,0
CUST100114,59.0,Other,East,Primary,Salaried,707923.84,38255.76,Car,760.6,1,161,68.6,2024-09-05,0
CUST100115,61.0,Female,South,Graduate,Salaried,576986.71,62500.72,Home,674.5,4,229,70.76,2021-08-09,0
CUST100116,48.0,Male,East,Graduate,Salaried,157203.61,50537.97,Car,555.0,1,148,29.96,2021-01-13,0
CUST100117,27.0,Female,South,Graduate,Salaried,283906.53,77799.37,Education,599.7,4,423,19.11,2020-06-27,0
CUST100118,29.0,Male,South,Primary,Salaried,449457.55,148101.1,Car,399.5,0,115,8.85,2021-05-09,0
CUST100119,28.0,Male,East,Graduate,Salaried,686987.74,76871.9,Other,684.7,0,322,16.12,2019-11-16,0
CUST100120,32.0,Female,North,Graduate,Salaried,199356.95,81932.27,Education,797.4,2,367,12.73,2025-02-01,0
CUST100121,54.0,Male,East,Graduate,Salaried,439412.06,209322.97,Home,585.8,4,366,37.47,2024-06-02,0
CUST100122,53.0,Female,North,Graduate,Salaried,172927.09,66579.92,Education,732.7,4,469,55.82,2023-10-05,1
CUST100123,68.0,Female,South,Graduate,Salaried,818763.69,54435.5,Other,718.8,1,136,14.09,2022-08-03,0
CUST100124,43.0,Female,South,Secondary,Salaried,511656.29,117847.73,Other,612.3,3,117,51.09,2023-10-15,1
CUST100125,44.0,Male,North,Secondary,Salaried,197267.98,42821.82,Car,818.3,1,328,26.63,2020-08-15,0
CUST100126,57.0,Female,South,Secondary,Self-Employed,196489.23,40036.27,Car,655.5,1,439,23.69,2022-08-10,0
CUST100127,55.0,Female,North,Primary,Salaried,558192.48,91326.88,Business,850.0,1,93,64.81,2023-04-17,0
CUST100128,64.0,Female,North,Post-Graduate,Salaried,8075302.52,292456.77,Education,532.8,2,165,90.11,2022-05-24,0
CUST100129,60.0,Male,South,Graduate,Salaried,229103.35,64655.99,Business,655.8,3,338,49.3,2019-12-03,0
CUST100130,42.0,Male,West,Post-Graduate,Self-Employed,709249.37,82268.69,Other,666.5,3,412,9.96,2024-12-08,0
CUST100131,47.0,Female,North,Secondary,Unemployed,319546.27,142004.68,Car,676.3,0,79,37.44,2020-03-31,0
CUST100132,55.0,Male,East,Post-Graduate,Self-Employed,724992.41,104498.99,Car,744.5,0,285,18.86,2020-06-06,0
CUST100133,21.0,Female,East,Graduate,Self-Employed,666579.4,104981.1,Car,850.0,0,416,101.97,2023-04-04,0
CUST100134,55.0,Female,South,Graduate,Salaried,485619.13,68416.23,Home,721.0,1,11,52.31,2021-08-21,0
CUST100135,57.0,Female,West,Graduate,Self-Employed,147173.17,69354.43,Other,682.2,2,117,16.54,2024-02-03,0
CUST100136,67.0,Female,South,Secondary,Salaried,665777.89,43105.08,Car,581.3,3,40,25.82,2024-02-21,0
CUST100137,34.0,,West,Graduate,Salaried,597919.59,102791.84,Other,509.9,2,270,31.24,2020-05-25,1
CUST100138,23.0,Female,North,Graduate,Salaried,565948.21,101162.97,Car,785.3,3,117,13.03,2018-06-15,0
CUST100139,21.0,Other,North,Primary,Salaried,497526.67,120814.93,Education,630.8,3,296,35.28,2021-03-19,1
CUST100140,25.0,Female,North,Secondary,Unemployed,261118.05,51965.06,Other,850.0,4,227,62.79,2019-07-11,0
CUST100141,46.0,Male,North,Post-Graduate,Salaried,847272.51,130756.76,Business,758.1,2,215,7.25,2021-04-12,0
CUST100142,34.0,Male,East,Post-Graduate,Self-Employed,758337.51,161673.53,Home,710.7,1,22,22.68,2024-01-24,0
CUST100143,59.0,Female,East,Post-Graduate,Salaried,232058.86,31264.21,Business,715.5,2,245,75.1,2019-12-10,0
CUST100144,47.0,Male,South,Graduate,Salaried,973425.92,59408.3,Other,716.4,2,138,97.31,2019-12-19,0
CUST100145,29.0,Male,West,Secondary,Salaried,478782.48,166461.03,Car,617.5,2,224,44.46,2022-05-23,0
CUST100146,35.0,Male,North,Secondary,Salaried,478055.53,46411.89,Other,522.4,1,395,15.24,2023-11-15,0
CUST100147,35.0,Female,North,Secondary,Self-Employed,397991.85,105887.64,Home,630.4,1,106,51.35,2024-09-17,0
CUST100148,46.0,Female,West,Primary,Salaried,422187.14,73570.78,Other,678.3,0,144,56.76,2021-01-05,1
CUST100149,62.0,Female,West,Secondary,Salaried,1007053.72,92190.79,Car,621.7,0,173,36.6,2023-07-13,0
CUST100150,33.0,Female,South,Secondary,Self-Employed,822287.19,75157.37,Business,564.3,2,195,22.61,2021-06-14,0
CUST100151,52.0,Female,West,Secondary,Salaried,811880.35,123293.1,Education,612.7,1,486,49.13,2018-10-18,0
CUST100152,59.0,Male,North,Post-Graduate,,494221.27,35772.62,Business,773.2,7,29,28.61,2023-12-24,0
CUST100153,69.0,Female,North,Secondary,Salaried,754268.01,38587.12,Car,747.3,1,469,51.76,2024-08-11,0
CUST100154,52.0,Male,North,Post-Graduate,Salaried,268179.59,203854.03,Car,695.4,1,441,15.26,2025-02-08,0
CUST100155,24.0,,North,Graduate,Salaried,627855.79,318142.38,Home,732.8,1,37,16.4,2024-04-14,0
CUST100156,50.0,Female,North,Secondary,Salaried,403490.08,72853.54,Other,578.1,2,347,49.65,2021-05-22,0
CUST100157,57.0,Male,South,Secondary,Salaried,128555.63,242968.29,Other,608.4,4,333,15.28,2023-10-19,1
CUST100158,43.0,Male,North,Primary,Self-Employed,170815.45,42606.31,Business,708.0,2,10,29.87,2020-01-16,0
CUST100159,59.0,Male,South,Secondary,Unemployed,297215.5,50407.23,Education,589.6,1,450,27.36,2024-07-04,0
CUST100160,65.0,Male,North,Graduate,Self-Employed,567554.69,202853.89,Education,689.8,1,198,13.51,2021-04-12,0
CUST100161,35.0,Male,East,Primary,Salaried,297375.86,128396.01,Home,566.4,1,234,18.99,2019-11-30,0
CUST100162,63.0,Female,East,Secondary,Salaried,310310.89,1350868.72,Car,531.5,0,141,5.37,2024-05-10,0
CUST100163,49.0,Female,East,Secondary,Salaried,699384.93,101517.76,Home,746.2,4,327,35.37,2019-06-08,0
CUST100164,56.0,Female,East,Post-Graduate,Salaried,317106.43,215987.8,Other,772.4,1,404,12.35,2023-01-20,0
CUST100165,33.0,Other,South,Graduate,Self-Employed,983117.91,85519.88,Car,623.2,3,477,17.94,2024-03-16,0
CUST100166,52.0,Female,South,Graduate,Salaried,890086.78,169634.56,Home,543.2,3,220,44.0,2020-10-20,0
CUST100167,27.0,Female,West,Primary,Salaried,448260.04,66641.67,Business,481.2,3,499,76.3,2025-01-04,0
CUST100168,42.0,Male,North,Graduate,Salaried,695284.83,59844.0,Other,845.8,2,353,25.33,2023-07-04,0
CUST100169,48.0,Female,East,Graduate,,640717.73,102610.69,Education,690.0,2,368,15.97,2019-04-09,0
CUST100170,22.0,Male,South,Graduate,Salaried,381780.39,49431.62,Home,625.3,3,187,23.08,2022-07-23,0
CUST100171,62.0,,North,Post-Graduate,Salaried,741908.2,89935.71,Other,647.2,2,172,11.83,2019-03-27,0
CUST100172,65.0,Female,North,Secondary,Salaried,810447.01,76454.5,Other,507.8,0,286,48.7,2021-11-20,1
CUST100173,26.0,Female,South,Post-Graduate,Salaried,249830.72,51881.1,Education,,3,42,6.29,2023-03-31,1
CUST100174,48.0,Male,East,Post-Graduate,Salaried,485109.14,145294.22,Education,850.0,2,167,41.13,2020-07-12,0
CUST100175,48.0,Female,West,Primary,Salaried,481905.01,114942.99,Education,609.6,4,475,39.87,2024-12-01,0
CUST100176,64.0,Female,North,Secondary,Self-Employed,736578.93,57092.65,Home,850.0,2,456,68.0,2018-11-12,0
CUST100177,64.0,Male,West,Post-Graduate,Salaried,,72368.55,Education,669.5,1,447,29.15,2019-11-02,0
CUST100178,40.0,Male,East,Primary,Self-Employed,309076.41,60482.36,Business,830.0,3,494,11.19,2019-11-29,0
CUST100179,50.0,Female,East,Graduate,,489627.31,46767.63,Other,707.6,2,146,40.8,2020-09-19,0
CUST100180,31.0,Male,West,Post-Graduate,Self-Employed,898799.74,22274.8,Education,707.6,2,252,51.06,2021-10-08,0
CUST100181,48.0,Other,East,Graduate,Salaried,215426.21,52120.86,Other,846.0,0,435,63.69,2021-06-16,0
CUST100182,45.0,Male,North,Secondary,Salaried,239214.59,47248.72,Car,750.4,0,107,24.58,2021-02-01,0
CUST100183,59.0,Male,West,Graduate,Self-Employed,323740.34,79254.82,Car,713.7,4,203,49.52,2020-06-25,0
CUST100184,53.0,Female,East,Secondary,Self-Employed,360214.06,99557.35,Education,505.3,1,204,39.42,2020-11-18,1
CUST100185,21.0,Male,West,Graduate,Salaried,153376.4,41708.94,Other,544.4,2,46,24.27,2018-03-30,0
CUST100186,47.0,Female,North,Primary,Self-Employed,,94982.52,Car,721.3,1,439,15.71,2024-08-19,0
CUST100187,33.0,Male,East,Graduate,Salaried,409141.38,37444.98,Education,812.1,1,151,21.15,2022-05-06,0
CUST100188,61.0,Male,North,Graduate,Salaried,373972.4,66989.77,Other,691.6,1,70,25.18,2018-12-30,0
CUST100189,23.0,Female,East,Graduate,Salaried,1171250.48,47968.83,Education,626.8,2,435,9.73,2024-01-04,0
CUST100190,59.0,Female,South,Graduate,Salaried,680563.29,123293.32,Other,514.5,3,197,50.0,2018-11-10,1
CUST100191,26.0,Female,East,Graduate,Salaried,320855.73,79359.32,Car,609.5,2,302,63.24,2019-07-02,0
CUST100192,28.0,Female,West,Graduate,Self-Employed,488338.8,67702.78,Education,691.8,1,42,112.11,2020-03-06,0
CUST100193,47.0,Female,East,Primary,Salaried,431471.92,47208.31,Car,602.9,1,145,15.58,2022-03-10,0
CUST100194,29.0,Male,North,Graduate,Salaried,1054956.95,58093.62,Education,593.2,2,110,38.63,2022-02-18,0
CUST100195,57.0,Male,North,Secondary,Salaried,400130.28,263113.97,Home,675.4,1,432,56.55,2023-11-19,0
CUST100196,53.0,Other,East,Post-Graduate,Salaried,186234.94,51495.06,Car,810.4,3,156,78.69,2018-04-17,0
CUST100197,62.0,Female,West,Primary,Salaried,143439.06,102291.81,Car,741.6,2,356,17.64,2020-05-06,1
CUST100198,64.0,Female,South,Secondary,Self-Employed,1072064.52,67585.42,Business,705.7,1,418,51.13,2018-10-18,0
CUST100199,44.0,Male,West,Graduate,Self-Employed,275634.55,100265.58,Car,697.0,3,330,31.48,2021-10-04,0
CUST100200,35.0,Male,South,Secondary,Self-Employed,661408.54,131384.46,Other,729.6,3,42,8.33,2019-09-09,0
CUST100201,52.0,Female,North,Primary,Self-Employed,461878.92,57080.34,Education,670.1,4,101,61.63,2022-10-23,1
CUST100202,52.0,Female,West,Graduate,Salaried,344554.35,120191.48,Home,643.0,0,112,45.18,2025-03-20,0
CUST100203,44.0,Female,South,Graduate,Salaried,378545.5,503655.43,Other,746.4,4,123,17.36,2021-06-04,0
CUST100204,61.0,Female,East,Graduate,Salaried,1143983.16,108801.24,Other,659.7,2,155,36.52,2025-03-28,1
CUST100205,69.0,Female,North,Secondary,Salaried,185565.27,226275.15,Other,573.0,2,78,23.22,2020-09-03,1
CUST100206,69.0,Male,East,Graduate,,350854.49,102409.24,Other,809.9,0,61,13.73,2023-07-30,0
CUST100207,,Male,North,Secondary,Salaried,762181.09,38086.95,Home,511.7,1,370,24.1,2022-05-31,1
CUST100208,59.0,Male,West,Graduate,Salaried,204866.33,88697.39,Business,816.6,4,339,7.99,2022-11-26,0
CUST100209,22.0,Male,West,Graduate,Unemployed,975172.53,58030.93,Car,725.6,2,256,76.99,2020-05-17,0
CUST100210,23.0,Female,North,Graduate,Unemployed,755662.28,48186.85,Other,592.8,3,411,74.31,2018-06-07,0
CUST100211,69.0,Male,North,Secondary,Self-Employed,520777.11,69507.53,Car,682.2,2,296,14.97,2018-11-24,0
CUST100212,57.0,Female,North,Primary,Salaried,327127.69,65622.57,Car,641.4,7,317,64.28,2025-05-04,0
CUST100213,,Male,West,Secondary,Salaried,189673.66,34823.67,Other,,2,259,17.55,2022-01-17,0
CUST100214,37.0,Male,South,Primary,Salaried,676188.75,486953.11,Business,750.9,3,258,62.75,2024-07-02,0
CUST100215,69.0,Male,East,Secondary,Salaried,2301765.42,128734.79,Car,721.5,0,389,70.06,2024-12-30,0
CUST100216,22.0,Male,East,Graduate,Salaried,482885.83,86774.94,Education,747.2,2,460,60.57,2020-05-19,0
CUST100217,22.0,Female,West,Secondary,Salaried,147912.0,77879.35,Car,669.7,3,263,5.34,2021-02-04,1
CUST100218,48.0,Male,East,Post-Graduate,Unemployed,582165.41,169675.66,Other,838.6,3,274,22.84,2018-08-29,0
CUST100219,43.0,Female,North,Primary,Salaried,741297.85,312668.64,Home,790.1,3,469,61.21,2024-10-18,0
CUST100220,57.0,Male,South,Graduate,Self-Employed,255068.79,118132.22,Car,637.1,3,38,57.6,2021-10-19,0
CUST100221,52.0,Male,East,Graduate,Self-Employed,300346.73,79605.22,Business,753.0,1,499,16.77,2022-10-15,0
CUST100222,53.0,Male,South,Secondary,Salaried,282539.34,205017.55,Education,745.1,2,330,35.57,2022-04-06,0
CUST100223,21.0,Female,North,Primary,Self-Employed,321637.91,80793.47,Education,656.6,2,329,59.99,2022-08-18,0
CUST100224,39.0,Female,East,Graduate,Salaried,398994.19,99182.85,Home,649.6,1,242,59.62,2022-04-12,0
CUST100225,22.0,Male,West,Secondary,Salaried,263935.32,147370.87,Home,789.3,1,183,62.93,2025-03-21,0
CUST100226,64.0,Male,South,Post-Graduate,Self-Employed,210764.64,55796.4,Car,678.7,3,493,49.25,2019-02-17,0
CUST100227,46.0,Female,North,Graduate,Salaried,491209.12,17101.41,Other,703.4,4,108,57.79,2023-05-13,0
CUST100228,52.0,Male,South,Post-Graduate,,396488.68,53930.09,Business,806.1,1,33,55.67,2019-07-23,0
CUST100229,26.0,Male,East,Secondary,Salaried,340528.78,125630.54,Education,850.0,0,231,52.25,2022-07-13,0
CUST100230,52.0,Female,East,Graduate,Salaried,465056.34,119585.35,Home,632.6,2,470,27.29,2022-05-19,0
CUST100231,24.0,Female,West,Graduate,Salaried,177707.56,187188.06,Business,660.1,1,236,24.29,2024-12-06,1
CUST100232,31.0,Male,North,Graduate,Salaried,518099.07,55393.54,Other,686.7,2,308,64.57,2018-05-31,0
